0, 472  33.725 130.75;
1, 107000  50.18333 12.73333;
2, 103.3  45.48333 9.51667;
3, 127000  47.86667 7.35;
4, 50000000  -27.46667 -60.58333;
5, 15000  39.8 16.2;
6, 10100000  27.05 -105.43333;
7, 1967  31.0 75.0;
8, 10400  50.38333 -3.95;
9, 29000  51.65 -1.51667;
10, 1040  35.07833 136.93333;
11, 17000  44.08333 6.86667;
12, 40  45.41667 11.13333;
13, 4500  48.5 8.0;
14, 695  34.71667 137.78333;
15, 7000  53.35 15.05;
16, 1700  14.0 -11.0;
17, 39  50.53333 14.11667;
18, 98000  50.5 12.5;
19, 24700  43.5 26.53333;
20, 14360  33.28333 130.2;
21, 700000  54.9 91.8;
22, 49000  46.1 16.33333;
23, 14000  46.21667 5.0;
24, 7540  49.4 14.65;
25, 2000  44.65 11.01667;
26, 3500  47.85 0.48333;
27, 19000  48.18333 13.13333;
28, 4000  41.71667 -0.05;
29, 2900  50.35 10.8;
30, 3000000  19.56667 -99.56667;
31, 158500  29.3 105.3;
32, 5360000  -10.11667 -39.2;
33, 405  27.15 -104.9;
34, 3000  48.9 11.21667;
35, 1500  50.625 35.075;
36, 6400  43.95 -0.05;
37, 1000000  22.81667 -102.56667;
38, 136000  -33.5 26.0;
39, 3700  43.11667 11.6;
40, 25000  54.13667 -0.41333;
41, 25.5  9.33333 80.83333;
42, 4500  38.5 -8.0;
43, 1850  49.78333 30.16667;
44, 500000  -7.56667 110.83333;
45, 3700  25.36667 82.91667;
46, 9000  46.05 4.63333;
47, 220  -20.0 57.0;
48, 3200  43.86667 5.38333;
49, 1600  48.13333 12.61667;
50, 37000  48.76667 0.63333;
51, 10000  16.8 -97.1;
52, 56  23.0 -102.0;
53, 1400000  23.08333 -101.01667;
54, 100  49.86667 8.65;
55, 4500  55.9 -4.23333;
56, 41  42.45 9.03333;
57, 1500000  49.96667 6.53333;
58, 3891  51.2 112.3;
59, 6000  44.11667 4.08333;
60, 150000  41.266667 -73.266667;
61, 65500  54.5 35.2;
62, 70  28.78333 78.83333;
63, 800000  32.0 -95.0;
64, 1676  44.86667 10.05;
65, 52000  49.28333 15.56667;
66, 12800  50.2 14.85;
67, 195  55.0 34.0;
68, 1360  36.5 -79.25;
69, 27000  47.93333 1.56667;
70, 825000  5.91667 -73.0;
71, 3520  52.45 -8.33333;
72, 823000  52.5 30.33333;
73, 100  13.33333 78.95;
74, 1440  41.68333 -3.8;
75, 6000  50.75 33.5;
76, 1030  43.6 1.4;
77, 31500  46.68333 1.05;
78, 2250  52.21667 11.25;
79, 500  55.46667 35.86667;
80, 50000  52.56667 -8.78333;
81, 885  61.2 27.7;
82, 28  13.78333 78.56667;
83, 0.5  25.36667 81.66667;
84, 30000  44.21667 0.61667;
85, 18000  48.6 38.0;
86, 108500  49.0 21.0;
87, 13200  30.3 76.63333;
88, 4000  47.71667 5.36667;
89, 0.2  35.65 139.33333;
90, 8500  41.05 23.56667;
91, 16300  43.2 -78.8;
92, 3867  50.28333 27.68333;
93, 2750  55.0 35.0;
94, 58200000  76.13333 -64.93333;
95, 68000  42.75 -75.18333;
96, 5000  45.43333 -0.45;
97, 3000  50.93333 12.13333;
98, 5213  56.0 26.43333;
99, 91000  44.71667 4.3;
100, 920000  -24.20333 -68.80667;
101, 4000  25.95 80.81667;
102, 89  27.08333 78.33333;
103, 100  30.33333 76.33333;
104, 1100  35.56667 -79.83333;
105, 277  48.18333 6.46667;
106, 2300  44.08333 -69.48333;
107, 614  51.33333 33.88333;
108, 1000  44.76667 11.28333;
109, 2000  49.88333 13.91667;
110, 2000  51.73333 102.53333;
111, 421000  17.53333 -97.35;
112, 2420  21.3 -157.86667;
113, 7500  38.41667 -77.16667;
114, 42  37.28333 14.7;
115, 132.7  44.3 0.4;
116, 40000  48.53333 35.98333;
117, 350  25.9 83.61667;
118, 5000  36.4 -86.5;
119, 4000  53.1 23.2;
120, 1800  37.46667 -77.5;
121, 626000  43.73333 6.78333;
122, 16300  33.01667 -83.96667;
123, 28  40.25 -74.0;
124, 59000  49.05 13.76667;
125, 2440  54.03333 40.9;
126, 1060  51.9 -1.11667;
127, 2  56.4 -3.43333;
128, 20000  46.63333 0.16667;
129, 3750  48.95 17.38333;
130, 74800  34.0 -87.16667;
131, 470  49.36667 16.63333;
132, 12000  29.48333 75.5;
133, 20000  31.55 -87.51667;
134, 12000  50.83333 25.5;
135, 4300  36.16667 -87.33333;
136, 700  51.78333 -1.78333;
137, 26000000  -25.5 18.0;
138, 1500  -5.2 -36.66667;
139, 145000  34.06667 -98.91667;
140, 800  44.38333 5.16667;
141, 1000  45.36667 1.86667;
142, 2100000  28.7 -102.73333;
143, 960000  35.78333 -83.25;
144, 31650  37.75 139.0;
145, 1500  46.25 -1.1;
146, 10500  49.26667 18.71667;
147, 5200  -33.13333 19.38333;
148, 8800  20.26667 76.01667;
149, 230  27.25 79.96667;
150, 1800  29.71667 77.95;
151, 500  47.63333 1.58333;
152, 1500  54.3 48.4;
153, 950  55.0 35.0;
154, 32700  33.25 -83.25;
155, 800  35.58333 -82.35;
156, 800  35.58333 -82.53333;
157, 5000  37.13333 -88.4;
158, 491  37.91667 -92.08333;
159, 70500  35.98333 -85.85;
160, 127000  36.26667 -85.98333;
161, 6460  45.08333 8.3;
162, 3000  47.21667 81.01667;
163, 150000  49.33333 19.48333;
164, 710  51.65 5.61667;
165, 1.2  60.43333 22.3;
166, 5500  46.95 -1.5;
167, 30000  47.93333 2.91667;
168, 1000  51.93333 15.5;
169, 7000  53.35 87.18333;
170, 6400  36.3 -82.88333;
171, 3200  42.38333 -2.5;
172, 2000  44.33333 3.23333;
173, 10000  46.18333 16.1;
174, 50  20.96667 76.1;
175, 6000  34.16667 -80.28333;
176, 2250  46.75 36.81667;
177, 8000  48.41667 43.2;
178, 3250  51.6 10.8;
